window_id,clap_sing,clap_speak,clap_logit_diff,clap_ok,error
-uB4Z9Vdv3E_001,-1.2174072,0.39447322,-1.6118805,1,
-uB4Z9Vdv3E_002,-2.604779,0.018936003,-2.623715,1,
-uB4Z9Vdv3E_003,-2.3688252,-1.0230539,-1.3457713,1,
01cBqZ4P68A_000,-2.9800673,-1.2800992,-1.6999681,1,
01cBqZ4P68A_001,-2.0766935,0.81514812,-2.8918417,1,
01cBqZ4P68A_002,-3.6462121,-0.62019318,-3.0260189,1,
0Hqy8SIu8QM_000,2.6361213,-1.964998,4.6011193,1,
0Hqy8SIu8QM_001,1.0017382,-2.2740722,3.2758104,1,
0Hqy8SIu8QM_002,0.62030745,-2.1736057,2.7939131,1,
0Hqy8SIu8QM_003,-2.6700971,-1.417052,-1.2530451,1,
0QZPlWu3n7Q_000,-0.30428982,-1.998212,1.6939222,1,
0QZPlWu3n7Q_001,-2.3626809,0.11585182,-2.4785327,1,
0QZPlWu3n7Q_002,-3.8546429,-1.5496782,-2.3049647,1,
0QZPlWu3n7Q_003,0.87053668,-1.2740219,2.1445585,1,
0QZPlWu3n7Q_004,-1.9522773,-0.055460762,-1.8968165,1,
0bxiKSqEZlU_000,-2.7830467,-0.19025029,-2.5927964,1,
0bxiKSqEZlU_001,-2.1719005,1.3196194,-3.4915199,1,
0bxiKSqEZlU_002,-0.58196747,-1.917454,1.3354865,1,
0bxiKSqEZlU_003,-2.3135395,-0.54236823,-1.7711713,1,
0oa0RJE4db8_000,-1.4434029,-0.62664628,-0.81675661,1,
0oa0RJE4db8_001,-3.7955506,0.21434712,-4.0098977,1,
0oa0RJE4db8_002,-4.9381232,-1.8688813,-3.0692419,1,
0oa0RJE4db8_003,-4.3771586,-1.9521681,-2.4249905,1,
0oa0RJE4db8_004,-1.8479024,1.9872698,-3.8351722,1,
0oa0RJE4db8_005,-4.1494074,-0.71469104,-3.4347163,1,
0tOUk3VfuGg_000,1.0754946,-1.0508096,2.1263043,1,
0tOUk3VfuGg_001,-2.3291998,-1.8571885,-0.47201133,1,
0tOUk3VfuGg_002,-0.92436969,0.54013491,-1.4645046,1,
0tOUk3VfuGg_003,-1.535552,0.83883679,-2.3743888,1,
0tOUk3VfuGg_004,-2.0267079,-0.090578102,-1.9361298,1,
0tOUk3VfuGg_005,-0.80869144,1.1768187,-1.9855102,1,
0tOUk3VfuGg_006,-1.9127043,0.52925807,-2.4419624,1,
0tOUk3VfuGg_007,-2.4036577,0.036543798,-2.4402015,1,
0tOUk3VfuGg_008,-2.0179336,0.37232915,-2.3902628,1,
0tOUk3VfuGg_009,-1.6677115,0.33173454,-1.999446,1,
0tOUk3VfuGg_010,-2.4484026,-0.038582101,-2.4098205,1,
0tOUk3VfuGg_011,-2.8320341,-0.99673986,-1.8352942,1,
0tOUk3VfuGg_012,-2.6936297,-0.90427494,-1.7893548,1,
0tOUk3VfuGg_013,-0.5740546,-0.36851117,-0.20554343,1,
0tOUk3VfuGg_014,-2.2516706,0.018729011,-2.2703996,1,
0tOUk3VfuGg_015,0.1363655,1.7011627,-1.5647972,1,
0tOUk3VfuGg_016,-2.0631282,-0.37448427,-1.688644,1,
0xkI0AW6xfQ_000,-0.95419544,0.53219545,-1.4863909,1,
0xkI0AW6xfQ_001,5.6319356,-0.48586982,6.1178054,1,
0xkI0AW6xfQ_002,5.736567,-0.5407384,6.2773054,1,
0xkI0AW6xfQ_003,5.4762774,0.59903097,4.8772464,1,
0xkI0AW6xfQ_004,5.0936933,0.65349805,4.4401952,1,
0xkI0AW6xfQ_005,7.42241,1.009937,6.412473,1,
0xkI0AW6xfQ_006,-3.0645771,-0.92404962,-2.1405275,1,
0xkI0AW6xfQ_007,-1.9614408,-0.34395564,-1.6174852,1,
0xkI0AW6xfQ_008,-2.3185852,1.3395281,-3.6581132,1,
0xkI0AW6xfQ_009,-4.1648979,-0.47577092,-3.689127,1,
0xkI0AW6xfQ_010,-3.8704848,-1.6592826,-2.2112023,1,
0xkI0AW6xfQ_011,-2.0022137,0.22696152,-2.2291752,1,
0xkI0AW6xfQ_012,-3.373384,-0.86757541,-2.5058086,1,
0xkI0AW6xfQ_013,-2.8187659,-1.4294258,-1.38934,1,
0xkI0AW6xfQ_014,-1.2878711,-0.81780779,-0.47006333,1,
0xkI0AW6xfQ_015,-1.9630048,-0.99718565,-0.96581918,1,
0xkI0AW6xfQ_016,-2.0864694,-1.5430473,-0.5434221,1,
0xkI0AW6xfQ_017,-2.6494324,-1.8171864,-0.83224607,1,
0xkI0AW6xfQ_018,-2.8766432,-0.22997335,-2.6466698,1,
0xkI0AW6xfQ_019,-4.146101,-0.93810135,-3.2079996,1,
10G-1WZq5jc_000,-1.8301786,0.73066473,-2.5608433,1,
10G-1WZq5jc_001,-1.2582554,1.0937433,-2.3519987,1,
10G-1WZq5jc_002,-2.2738504,1.4118603,-3.6857108,1,
10G-1WZq5jc_003,-2.5412683,1.0184302,-3.5596986,1,
10G-1WZq5jc_004,-3.3159933,-0.24448706,-3.0715062,1,
10G-1WZq5jc_005,-2.0164025,1.5373998,-3.5538023,1,
10G-1WZq5jc_006,-2.8300323,-0.15932673,-2.6707056,1,
10G-1WZq5jc_007,-2.8262072,-0.7426303,-2.0835769,1,
10G-1WZq5jc_008,-3.1378052,-1.8733119,-1.2644933,1,
10G-1WZq5jc_009,-1.2287091,-0.16903423,-1.0596749,1,
10G-1WZq5jc_010,-1.8033742,-0.97026622,-0.83310795,1,
10G-1WZq5jc_011,-0.94216895,-0.3263869,-0.61578205,1,
10G-1WZq5jc_012,-0.63315433,0.60867,-1.2418243,1,
10G-1WZq5jc_013,-1.1159232,3.0572162,-4.1731393,1,
10G-1WZq5jc_014,-3.4217293,-1.8579919,-1.5637374,1,
10G-1WZq5jc_015,6.3487558,0.23712677,6.1116291,1,
10G-1WZq5jc_016,6.0970931,0.79822266,5.2988704,1,
10G-1WZq5jc_017,-2.3669457,-0.61665636,-1.7502894,1,
10G-1WZq5jc_018,-4.4053612,-0.93582129,-3.4695399,1,
1Hj6ncrJr0c_000,-0.39294711,0.69510442,-1.0880515,1,
1Hj6ncrJr0c_001,-2.2985694,-1.2726964,-1.0258731,1,
1Hj6ncrJr0c_002,-2.35271,-2.279326,-0.073384047,1,
1Hj6ncrJr0c_003,-2.0109386,-0.77800113,-1.2329375,1,
1Hj6ncrJr0c_004,-3.6749225,-1.4060519,-2.2688706,1,
1Hj6ncrJr0c_005,-4.1762714,-0.62069958,-3.5555719,1,
1Mz-sKyoEy8_000,0.57651317,0.4469395,0.12957367,1,
1Mz-sKyoEy8_001,3.6424022,2.8895826,0.75281954,1,
1Mz-sKyoEy8_002,5.3730683,1.5432596,3.8298087,1,
1Mz-sKyoEy8_003,0.6512987,-2.3328664,2.9841651,1,
1Mz-sKyoEy8_004,-2.3661056,-0.54022968,-1.8258759,1,
1VbNiBxwg9M_000,-1.1667793,1.1937568,-2.3605361,1,
1VbNiBxwg9M_001,-2.0048773,-0.83916366,-1.1657137,1,
1VbNiBxwg9M_002,-0.53156775,-0.44838655,-0.083181202,1,
1VbNiBxwg9M_003,-3.2686069,-2.3619406,-0.90666628,1,
1VbNiBxwg9M_004,-3.6742716,-0.42100263,-3.253269,1,
1VbNiBxwg9M_005,-2.8646882,-2.5378125,-0.32687569,1,
1VbNiBxwg9M_006,-6.4616489,-2.9529691,-3.5086799,1,
1VbNiBxwg9M_007,-3.5293086,-3.1514637,-0.37784481,1,
1VbNiBxwg9M_008,-2.8600929,0.090110697,-2.9502036,1,
1VbNiBxwg9M_009,-3.890713,-3.8449254,-0.045787573,1,
1VbNiBxwg9M_010,-2.5570338,-1.5246685,-1.0323653,1,
1VbNiBxwg9M_011,1.0740449,0.61242932,0.46161562,1,
1VbNiBxwg9M_012,-1.7610681,0.067886412,-1.8289545,1,
1VbNiBxwg9M_013,-1.1577375,0.72768456,-1.8854221,1,
1VbNiBxwg9M_014,-3.5650861,-1.4754274,-2.0896587,1,
1VbNiBxwg9M_015,-2.9783783,-1.2194551,-1.7589232,1,
1VbNiBxwg9M_016,-2.653347,-1.3404927,-1.3128543,1,
1VbNiBxwg9M_017,-1.7944655,0.057916772,-1.8523823,1,
1VbNiBxwg9M_018,-4.0953703,-2.3056214,-1.7897489,1,
1VbNiBxwg9M_019,-1.1795412,-3.5109847,2.3314434,1,
1VbNiBxwg9M_020,-3.0357788,-1.8599799,-1.1757989,1,
1W1EWr_0bg8_000,-2.1107666,-1.0635421,-1.0472245,1,
1W1EWr_0bg8_001,-0.051366467,0.59397852,-0.64534499,1,
1W1EWr_0bg8_002,1.2827226,1.2640889,0.018633723,1,
1W1EWr_0bg8_003,0.29109612,0.023064043,0.26803208,1,
1W1EWr_0bg8_004,0.083724283,-0.32677341,0.41049769,1,
1W1EWr_0bg8_005,-0.13538441,0.059244569,-0.19462898,1,
1W1EWr_0bg8_006,-2.7241225,-1.5728863,-1.1512362,1,
1WefYlPx6ok_000,0.96962386,0.8409943,0.12862957,1,
1WefYlPx6ok_001,-2.0036025,0.33894414,-2.3425466,1,
1WefYlPx6ok_002,-0.99501818,0.32072926,-1.3157474,1,
1WefYlPx6ok_003,-0.38165864,0.30794927,-0.68960792,1,
1WefYlPx6ok_004,-2.3867395,-0.19864397,-2.1880955,1,
1WefYlPx6ok_005,-2.1969833,-0.25460711,-1.9423762,1,
1WefYlPx6ok_006,-2.5017004,0.36625278,-2.8679532,1,
1WefYlPx6ok_007,-3.1105492,0.23964812,-3.3501973,1,
1WefYlPx6ok_008,-0.38361144,1.6117653,-1.9953767,1,
1WefYlPx6ok_009,-0.31686085,1.8828084,-2.1996693,1,
1WefYlPx6ok_010,-1.7457687,0.36284161,-2.1086103,1,
1WefYlPx6ok_011,-1.3701376,0.17580667,-1.5459442,1,
1WefYlPx6ok_012,-0.80428153,0.41443029,-1.2187118,1,
1WefYlPx6ok_013,-2.5924811,-3.8120673,1.2195861,1,
1WefYlPx6ok_014,-2.3900185,-0.43754491,-1.9524736,1,
1qtodTd6UME_000,-1.4587094,0.096471302,-1.5551807,1,
1qtodTd6UME_001,0.54839659,1.4706919,-0.92229533,1,
1qtodTd6UME_002,-3.7223351,-0.56222475,-3.1601104,1,
1uc4tqpk9o0_000,2.7477047,-0.34074977,3.0884545,1,
1uc4tqpk9o0_001,-2.1201699,-1.2216991,-0.89847076,1,
1uc4tqpk9o0_002,0.68844634,2.2591598,-1.5707135,1,
1uc4tqpk9o0_003,-0.7040472,0.63257104,-1.3366182,1,
1uc4tqpk9o0_004,-2.0299616,0.19083926,-2.2208008,1,
1uc4tqpk9o0_005,-3.292886,-0.6164372,-2.6764488,1,
1uc4tqpk9o0_006,-0.54784602,1.3399355,-1.8877816,1,
1uc4tqpk9o0_007,-1.7265458,0.51033455,-2.2368804,1,
1uc4tqpk9o0_008,-3.8900485,-0.65634203,-3.2337065,1,
238-IIxY3Pw_000,-1.2570328,-0.219339,-1.0376938,1,
238-IIxY3Pw_001,-3.3609152,-2.7427323,-0.6181829,1,
238-IIxY3Pw_002,-4.3381042,0.078309104,-4.4164134,1,
238-IIxY3Pw_003,-3.0896654,-1.6185631,-1.4711024,1,
238-IIxY3Pw_004,-1.1293874,-1.756609,0.62722158,1,
238-IIxY3Pw_005,-1.2999642,-0.98996389,-0.3100003,1,
238-IIxY3Pw_006,4.9661565,1.147302,3.8188545,1,
238-IIxY3Pw_007,3.9946206,0.54260534,3.4520152,1,
238-IIxY3Pw_008,-0.74409533,-1.2388486,0.49475324,1,
238-IIxY3Pw_009,-1.6021628,-1.2165625,-0.38560033,1,
238-IIxY3Pw_010,5.1873198,1.2713236,3.9159962,1,
238-IIxY3Pw_011,5.5787611,2.2553859,3.3233752,1,
238-IIxY3Pw_012,-0.5706687,-3.0048451,2.4341764,1,
238-IIxY3Pw_013,-2.6013479,-1.0133959,-1.587952,1,
2VLM3MhnyEE_000,-4.57517,-2.3470869,-2.2280831,1,
2VLM3MhnyEE_001,-3.1078875,-1.7704905,-1.337397,1,
2VLM3MhnyEE_002,-1.5264992,-0.46614471,-1.0603544,1,
2VLM3MhnyEE_003,-1.6105298,0.073517159,-1.6840469,1,
2VLM3MhnyEE_004,-2.2474592,-1.4481763,-0.79928291,1,
2VLM3MhnyEE_005,-1.9886247,-2.3708045,0.38217986,1,
2VLM3MhnyEE_006,-1.4407266,-0.72367495,-0.71705168,1,
2VLM3MhnyEE_007,0.90704566,0.77127123,0.13577443,1,
2VLM3MhnyEE_008,-0.26874509,2.0291286,-2.2978736,1,
2VLM3MhnyEE_009,-4.2719707,-2.1604855,-2.1114852,1,
2VLM3MhnyEE_010,0.12646575,-2.272913,2.3993787,1,
2VmuNpNnUEU_000,-2.2604458,-0.41384822,-1.8465976,1,
2VmuNpNnUEU_001,-2.6927474,-0.58567172,-2.1070756,1,
2VmuNpNnUEU_002,-2.2174006,-0.2807804,-1.9366201,1,
2VmuNpNnUEU_003,-4.3525887,-1.0025697,-3.350019,1,
2Y6itphxVyc_000,-1.6937958,-0.80615455,-0.88764125,1,
2Y6itphxVyc_001,1.114985,-2.6584785,3.7734635,1,
2Y6itphxVyc_002,3.3004525,-1.3357246,4.6361771,1,
2Y6itphxVyc_003,2.5681872,-0.22433859,2.7925258,1,
2Y6itphxVyc_004,4.3052549,0.86550063,3.4397543,1,
2Y6itphxVyc_005,3.1074538,-0.065836392,3.1732902,1,
2Y6itphxVyc_006,3.0571783,-0.55786955,3.6150478,1,
2Y6itphxVyc_007,-3.6933074,-1.3152884,-2.378019,1,
2Y6itphxVyc_008,-4.4295173,-0.90206563,-3.5274516,1,
2a1fdlEvm-s_000,-0.21625014,1.582074,-1.7983242,1,
2a1fdlEvm-s_001,-3.027431,0.94402397,-3.971455,1,
2a1fdlEvm-s_002,-1.8710668,-0.4944202,-1.3766466,1,
2a1fdlEvm-s_003,-4.180408,-0.78101528,-3.3993927,1,
2anuRVG0ZBc_000,-1.0491619,0.47930714,-1.5284691,1,
2anuRVG0ZBc_001,-1.1628726,0.55753225,-1.7204048,1,
2anuRVG0ZBc_002,-1.9226763,-1.0324457,-0.89023066,1,
2anuRVG0ZBc_003,0.48767969,-0.029376732,0.51705642,1,
2anuRVG0ZBc_004,-0.14447057,-2.9398785,2.7954079,1,
2anuRVG0ZBc_005,-2.1450067,-0.4811644,-1.6638423,1,
2oJ2qkdgZTw_000,-0.19057921,1.176903,-1.3674822,1,
2oJ2qkdgZTw_001,-2.2284799,0.31023794,-2.5387178,1,
2oJ2qkdgZTw_002,-1.9709898,1.1077238,-3.0787137,1,
2wdfJrsnKME_000,-3.6496215,2.1838775,-5.833499,1,
2wdfJrsnKME_001,-1.5268927,1.4598345,-2.9867271,1,
2wdfJrsnKME_002,-1.5604315,0.48638883,-2.0468203,1,
2wdfJrsnKME_003,0.89341205,2.4085772,-1.5151652,1,
2wdfJrsnKME_004,0.044431929,1.3498919,-1.30546,1,
2wdfJrsnKME_005,-4.4049082,-4.2066579,-0.19825029,1,
2wdfJrsnKME_006,-2.4873211,-0.33974794,-2.1475732,1,
389l_ackzDg_000,-0.43826726,0.68351805,-1.1217853,1,
389l_ackzDg_001,-1.6895049,0.68676102,-2.3762659,1,
389l_ackzDg_002,-2.0656192,0.44708031,-2.5126995,1,
389l_ackzDg_003,-1.0786884,-0.030121952,-1.0485664,1,
389l_ackzDg_004,-3.7628446,-0.581586,-3.1812586,1,
3KG2fqfQMG4_000,-5.0404453,-3.6428826,-1.3975627,1,
3KG2fqfQMG4_001,-4.7493982,-2.5555463,-2.1938519,1,
3KG2fqfQMG4_002,-1.9198896,0.37434939,-2.294239,1,
3KG2fqfQMG4_003,-3.7207797,-2.0828304,-1.6379492,1,
3KG2fqfQMG4_004,-2.6940746,-0.27828476,-2.4157899,1,
3KG2fqfQMG4_005,-3.748276,-0.6691469,-3.0791291,1,
3TNcMupTFTQ_000,0.80589694,1.7788836,-0.97298664,1,
3TNcMupTFTQ_001,-1.8839077,0.79812491,-2.6820326,1,
3TNcMupTFTQ_002,-2.4754412,0.13250186,-2.6079431,1,
3TNcMupTFTQ_003,-0.41619399,3.4977446,-3.9139386,1,
3TNcMupTFTQ_004,-1.5298949,0.56740767,-2.0973026,1,
3TNcMupTFTQ_005,-4.0178032,-0.65414774,-3.3636554,1,
3aBRmQ-C51o_000,0.18202294,-2.2092187,2.3912417,1,
3aBRmQ-C51o_001,-1.3539381,-1.579404,0.22546589,1,
3aBRmQ-C51o_002,-4.5180249,-1.587942,-2.9300829,1,
3aBRmQ-C51o_003,-4.3097153,-2.2466724,-2.0630429,1,
3g0OEhAgPHw_000,-1.6340032,0.28655285,-1.920556,1,
3g0OEhAgPHw_001,-2.618196,0.19467039,-2.8128664,1,
3g0OEhAgPHw_002,-3.192522,-0.36487055,-2.8276515,1,
3g0OEhAgPHw_003,0.10823521,1.0779785,-0.96974328,1,
3g0OEhAgPHw_004,-4.4963064,-1.0776986,-3.4186078,1,
3gtSu-CaA6o_000,-2.4147129,-2.3986895,-0.016023397,1,
3gtSu-CaA6o_001,-2.8142946,0.34161919,-3.1559138,1,
3gtSu-CaA6o_002,-0.50879031,1.4229747,-1.931765,1,
3gtSu-CaA6o_003,-0.25421384,0.42119402,-0.67540786,1,
3gtSu-CaA6o_004,-1.3470083,0.18545535,-1.5324637,1,
3gtSu-CaA6o_005,-3.1833496,-0.49310452,-2.6902451,1,
3gtSu-CaA6o_006,-1.5289829,1.9652655,-3.4942484,1,
3gtSu-CaA6o_007,-0.98598778,0.31067401,-1.2966618,1,
3gtSu-CaA6o_008,0.21791953,-0.12050044,0.33841997,1,
3gtSu-CaA6o_009,-2.824471,-0.33424103,-2.49023,1,
3gtSu-CaA6o_010,-4.0959373,-0.48637199,-3.6095653,1,
3kTKtsSunlg_000,0.18202294,-2.2092187,2.3912417,1,
3kTKtsSunlg_001,-2.0430572,0.56064504,-2.6037022,1,
3kTKtsSunlg_002,-2.8408744,-0.92406148,-1.916813,1,
3kTKtsSunlg_003,-0.43617332,2.7274263,-3.1635996,1,
3kTKtsSunlg_004,-2.9538903,-0.2402495,-2.7136408,1,
3kTKtsSunlg_005,1.1865221,0.9249813,0.26154083,1,
3kTKtsSunlg_006,1.6835947,3.1527042,-1.4691095,1,
3kTKtsSunlg_007,-1.9097583,-2.3543341,0.44457579,1,
3kTKtsSunlg_008,-1.7454325,-2.26596,0.52052748,1,
3kTKtsSunlg_009,-0.32193518,-2.469146,2.1472108,1,
3kTKtsSunlg_010,0.69406551,-0.99173236,1.6857979,1,
3kTKtsSunlg_011,-2.3507688,-3.2030718,0.85230303,1,
3kTKtsSunlg_012,-3.6606131,-1.9349918,-1.7256212,1,
3kTKtsSunlg_013,-2.1929555,-0.68551564,-1.5074399,1,
3kTKtsSunlg_014,-1.4916568,0.45540974,-1.9470665,1,
3kTKtsSunlg_015,-1.611358,-0.13813215,-1.4732259,1,
3kTKtsSunlg_016,-1.8388455,-0.60724825,-1.2315972,1,
3kTKtsSunlg_017,-2.5561349,-3.8923874,1.3362525,1,
3kTKtsSunlg_018,-1.8179079,-2.5469699,0.72906196,1,
3kTKtsSunlg_019,0.06594146,-1.0753363,1.1412778,1,
3kTKtsSunlg_020,-3.4185975,-2.4368176,-0.98177981,1,
3kTKtsSunlg_021,-3.3887467,-2.5543065,-0.83444023,1,
3kTKtsSunlg_022,-1.831773,-2.1051893,0.27341628,1,
3kTKtsSunlg_023,0.14306845,-0.43290013,0.57596858,1,
3kTKtsSunlg_024,0.29023552,-0.02149464,0.31173016,1,
3kTKtsSunlg_025,0.15398964,-2.6279387,2.7819284,1,
3kTKtsSunlg_026,-1.1974281,-2.236773,1.0393449,1,
3kTKtsSunlg_027,-0.37654948,0.054113057,-0.43066254,1,
3kTKtsSunlg_028,-2.3141551,-2.9933472,0.67919207,1,
3kTKtsSunlg_029,-0.93232244,-1.4215912,0.48926872,1,
3kTKtsSunlg_030,-1.637419,-1.1879584,-0.44946063,1,
3kTKtsSunlg_031,-1.2493265,-0.52900356,-0.72032291,1,
3kTKtsSunlg_032,-5.2353621,-3.2173467,-2.0180154,1,
3kTKtsSunlg_033,-4.2649517,-2.3915925,-1.8733592,1,
3zxz0AndPt0_000,-1.0126107,-0.99510682,-0.017503858,1,
3zxz0AndPt0_001,-4.3485951,-0.87782323,-3.4707719,1,
47F3lTVpOxc_000,-1.1121947,-0.22360136,-0.8885933,1,
47F3lTVpOxc_001,-1.3254621,-0.55585653,-0.76960558,1,
47F3lTVpOxc_002,-2.1900606,0.20928261,-2.3993432,1,
47F3lTVpOxc_003,-1.973594,0.71240258,-2.6859965,1,
47F3lTVpOxc_004,-2.9937916,0.12573804,-3.1195296,1,
47F3lTVpOxc_005,-2.2678292,0.46689981,-2.734729,1,
47F3lTVpOxc_006,-4.3000107,-1.2384686,-3.061542,1,
4BE3O130ubk_000,-3.1363194,-1.7000837,-1.4362357,1,
4BE3O130ubk_001,-0.11548879,1.2782278,-1.3937166,1,
4BE3O130ubk_002,1.3796397,1.0578034,0.32183635,1,
4BE3O130ubk_003,-3.0717881,-0.84322023,-2.2285678,1,
4BE3O130ubk_004,-1.899471,0.019384403,-1.9188554,1,
4BE3O130ubk_005,-4.3411412,-1.1129872,-3.2281541,1,
4Eyz895ZCwE_000,-2.0167499,-0.6171602,-1.3995897,1,
4Eyz895ZCwE_001,-1.7316046,0.4512437,-2.1828483,1,
4Eyz895ZCwE_002,-2.419029,0.26938611,-2.6884151,1,
4Eyz895ZCwE_003,0.4192439,1.2638757,-0.84463182,1,
4FiG0IQi__Y_000,-2.6586649,0.27024728,-2.9289122,1,
4FiG0IQi__Y_001,-2.5712607,-0.37408286,-2.1971778,1,
4FiG0IQi__Y_002,-0.30675495,-0.26545098,-0.041303962,1,
4FiG0IQi__Y_003,-2.8946302,-3.7503238,0.85569358,1,
4FiG0IQi__Y_004,-2.1505992,-0.52305752,-1.6275417,1,
4YsyGfojh30_000,-2.227071,-0.26319143,-1.9638796,1,
4YsyGfojh30_001,-1.183226,0.65729856,-1.8405246,1,
4YsyGfojh30_002,-4.0619245,-0.84735519,-3.2145693,1,
4bPrey4Dpqo_000,-0.5817737,0.91974926,-1.501523,1,
4bPrey4Dpqo_001,-2.5797901,0.39133671,-2.9711268,1,
4bPrey4Dpqo_002,-2.2182043,0.37780926,-2.5960135,1,
4bPrey4Dpqo_003,-2.0298281,1.0812272,-3.1110553,1,
4bPrey4Dpqo_004,-3.4598899,-0.64877766,-2.8111122,1,
4bPrey4Dpqo_005,-2.6899834,0.24528199,-2.9352654,1,
4bPrey4Dpqo_006,-3.9467835,-0.56273806,-3.3840455,1,
4bPrey4Dpqo_007,-3.4135833,-0.35455674,-3.0590265,1,
4fkaKsVNx9I_000,2.2338758,-2.173825,4.4077008,1,
4fkaKsVNx9I_001,3.3654485,-2.09934,5.4647884,1,
4fkaKsVNx9I_002,5.1672435,-0.27878568,5.4460292,1,
4fkaKsVNx9I_003,3.0055568,-1.7651904,4.7707472,1,
4fkaKsVNx9I_004,-1.3027986,-0.83124495,-0.47155368,1,
4fkaKsVNx9I_005,-0.77535099,0.084035181,-0.85938617,1,
4fkaKsVNx9I_006,-0.65231538,-0.97361231,0.32129693,1,
4fkaKsVNx9I_007,-1.1586148,-0.32704148,-0.83157328,1,
4fkaKsVNx9I_008,-0.45316464,-1.6578809,1.2047163,1,
4fkaKsVNx9I_009,-3.1398365,-0.81472069,-2.3251159,1,
4fkaKsVNx9I_010,-3.756089,-0.87628543,-2.8798035,1,
4iTUm1J-v0Q_000,-2.8397951,-0.53775471,-2.3020404,1,
4iTUm1J-v0Q_001,-0.29686132,-0.56131411,0.26445279,1,
4iTUm1J-v0Q_002,3.6934295,3.2893255,0.40410399,1,
4iTUm1J-v0Q_003,-2.0575204,0.18737559,-2.244896,1,
